avg_confirmed_gain,avg_deaths_gain,avg_recovered_gain,confirmed_per_population_percent,country,deaths_per_population_percent,first_confirmed,first_death,first_recovered,land_area,last_confirmed,last_deaths,last_recovered,max_confirmed_gain,max_deaths_gain,max_recovered_gain,migrants_count,population_density,population_net_change,population_total,recovered_per_population_percent,std_confirmed_gain,std_deaths_gain,std_recovered_gain,urban_population_percent
111.78260869565217,7.516129032258065,38.107142857142854,0.010105557877990855,Colombia,0.00045791423290001353,44.0,60,55.0,1109500.0,5142.0,233.0,1067.0,353.0,26.0,98.0,204796.0,46.0,543448.0,50882891.0,0.0020969720450828943,91.7336514150198,5.898423335897684,33.35814552723027,80.0
14.142857142857142,1.0,8.962962962962964,0.013603925154462461,Costa Rica,0.00011778290177023777,44.0,57,59.0,51060.0,693.0,6.0,242.0,37.0,1.0,30.0,4200.0,100.0,46557.0,5094118.0,0.0047505770380662565,9.44722181384559,0.0,8.41921557410136,80.0
31.676470588235293,1.5555555555555556,16.115384615384617,0.004082905500185493,Cote d'Ivoire,5.3073980503803995e-05,49.0,67,55.0,318000.0,1077.0,14.0,419.0,113.0,4.0,60.0,-8000.0,83.0,661730.0,26378274.0,0.0015884284165067057,28.496379980872312,1.0137937550497034,18.621121175862477,51.0
36.654545454545456,2.16,30.41176470588235,0.04910764634797201,Croatia,0.0013153833843206786,34.0,57,51.0,55960.0,2016.0,54.0,1034.0,96.0,8.0,99.0,-8001.0,73.0,-25037.0,4105267.0,0.025187155914584848,28.370053448309413,1.7,29.297965227783543,58.0
31.833333333333332,2.125,17.48,0.011804055156456262,Cuba,0.0004502668758259307,50.0,56,62.0,106440.0,1337.0,51.0,437.0,63.0,6.0,51.0,-14400.0,106.0,-6867.0,11326616.0,0.003858169112469249,20.89802962665195,1.190998850070631,13.260593249675269,78.0
18.0,1.2307692307692308,7.4,0.06708857928751928,Cyprus,0.0011595556913892224,47.0,60,60.0,9240.0,810.0,14.0,148.0,58.0,2.0,50.0,5000.0,131.0,8784.0,1207359.0,0.012258160166114637,12.429802894656053,0.4385290096535146,10.850175841407994,67.0
136.14814814814815,6.606060606060606,76.65625,0.0686526570548589,Czechia,0.002035674542703923,39.0,60,54.0,77240.0,7352.0,218.0,2453.0,381.0,18.0,261.0,22011.0,139.0,19772.0,10708981.0,0.02290600758372809,105.08620134673758,3.630938187467823,79.94942327658195,74.0
157.14545454545456,10.195121951219512,183.0625,0.14921786222234654,Denmark,0.007216599144850265,36.0,52,44.0,42430.0,8643.0,418.0,5858.0,391.0,22.0,894.0,15200.0,137.0,20326.0,5792202.0,0.10113597557543745,97.69518320546219,5.514614729041014,183.05753326173433,88.0
36.0,1.0,24.866666666666667,0.1020242914979757,Djibouti,0.00020242914979757084,56.0,79,72.0,23180.0,1008.0,2.0,373.0,156.0,1.0,78.0,900.0,43.0,14440.0,988000.0,0.037753036437246965,44.79996693120473,0.0,26.970530654948632,79.0
141.0952380952381,8.029411764705882,32.88,0.0546280343402554,Dominican Republic,0.0025166137993401496,39.0,55,62.0,48320.0,5926.0,273.0,822.0,371.0,38.0,182.0,-30000.0,225.0,108952.0,10847910.0,0.007577496494716493,100.54796441252753,6.649152573563346,41.313153676119505,85.0
483.3829787234043,15.567567567567568,65.04761904761905,0.1287702231144336,Ecuador,0.003264740900299914,39.0,52,59.0,248360.0,22719.0,576.0,1366.0,11536.0,51.0,199.0,36400.0,71.0,269392.0,17643054.0,0.007742423732308476,1682.9789912299468,11.233730310840505,49.080012418983955,63.0
83.0576923076923,7.487804878048781,30.27027027027027,0.004220477015725816,Egypt,0.0002999968612706241,23.0,46,37.0,995450.0,4319.0,307.0,1114.0,232.0,19.0,163.0,-38033.0,103.0,1946331.0,102334404.0,0.0010885879591383558,67.93549808791047,4.980572011423548,31.486018633186532,43.0
8.5625,1.0,3.9473684210526314,0.004224349985854595,El Salvador,0.00012333868571838232,57.0,69,73.0,20720.0,274.0,8.0,75.0,24.0,1.0,15.0,-40539.0,313.0,32652.0,6486205.0,0.0011563001786098343,5.198867742735105,0.0,3.222726316689132,73.0
16.125,1.0,1.75,0.018389362680285248,Equatorial Guinea,7.127659953598934e-05,53.0,91,69.0,28050.0,258.0,1.0,7.0,130.0,1.0,3.0,16000.0,50.0,46999.0,1402985.0,0.0004989361967519254,32.6922518853219,,0.9574271077563381,73.0
